"iso2c","country","year","life_expectancy","mortality_infant","mortality_adult_f","mortality_adult_m","mortality_under_5","malaria_deaths","cvd_cancer_diabetes_crd_death_perc","aids_hiv_deaths","gdp","population","dom_gvt_health_exp","gvt_health_exp","iso3c","region","capital","longitude","latitude","income","lending"
"AE","United Arab Emirates",2010,76.332,NA,61.349,87.243,NA,NA,21.1,NA,289787338325.391,8549998,931.47003174,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2001,74.544,NA,82.717,108.47,NA,NA,24.2,NA,103311640571.818,3302722,598.47137451,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2003,74.968,NA,76.507,102.665,NA,NA,23.5,NA,124346358066.712,3711931,543.2043457,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2007,75.767,NA,64.574,91.826,NA,NA,22.5,NA,257916133424.098,6168846,629.39587402,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2014,77.095,NA,57.493,81.739,NA,NA,20.3,NA,403137100068.074,9214182,1127.30541992,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2011,76.521,NA,60.274,85.715,NA,NA,20.9,NA,350666031313.819,8946778,1041.75549316,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2004,75.174,NA,73.524,99.955,NA,NA,23.2,NA,147824370319.946,4068577,510.84796143,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2013,76.903,NA,58.346,82.963,NA,NA,20.5,NA,390107556160.654,9197908,1096.765625,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2006,75.573,NA,67.557,94.535,NA,NA,22.7,NA,222116541865.214,5300172,558.44140625,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2015,77.285,NA,56.639,80.514,NA,NA,19.9,NA,358135057862.492,9262896,987.21020508,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2012,76.711,NA,59.199,84.187,NA,NA,20.7,NA,374590605854.323,9141598,1018.18426514,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2005,75.376,NA,70.541,97.245,NA,NA,23.1,NA,180617467964.602,4588222,519.16125488,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AF","Afghanistan",2001,56.308,NA,281.975,327.741,NA,NA,42.1,NA,NA,21606992,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2002,56.784,NA,276.164,321.607,NA,NA,42.1,NA,4055179566.34981,22600774,0.14087316,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2011,61.553,NA,224.28,266.32,NA,NA,37.1,NA,17804292964.1045,30117411,2.85096025,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2005,58.29,NA,256.293,300.386,NA,NA,40.9,NA,6209137624.77181,25654274,1.27081895,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2003,57.271,NA,269.54,314.533,NA,NA,41.5,NA,4515558808.10994,23680871,1.24027777,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2000,55.841,NA,287.786,333.875,NA,NA,41.7,NA,NA,20779957,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2013,62.525,NA,215.307,257.135,NA,NA,36.2,NA,20561069558.2152,32269592,2.77086258,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2004,57.772,NA,262.917,307.459,NA,NA,41.4,NA,5226778808.89209,24726689,1.12990189,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2010,61.028,NA,228.971,271.299,NA,NA,37.8,NA,15856574731.441,29185511,2.46306276,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2012,62.054,NA,219.588,261.34,NA,NA,36.6,NA,20001598505.7042,31161378,2.23348212,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2015,63.377,44.772331237793,206.746,248.724,55.1505889892578,NA,35.6,NA,19907111418.9938,34413603,3.04678655,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2006,58.826,NA,249.669,293.312,NA,NA,40.5,NA,6971285594.68013,26433058,1.30457151,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2007,59.375,NA,243.045,286.238,NA,NA,40.1,NA,9747879531.86311,27100542,1.76791167,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2008,59.93,NA,238.354,281.258,NA,NA,39.4,NA,10109225813.6696,27722281,2.33226275,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2014,62.966,NA,211.026,252.93,NA,NA,35.7,NA,20484885119.7348,33370804,2.92699552,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2009,60.484,NA,233.662,276.279,NA,NA,38.4,NA,12439087076.7667,28394806,2.26027417,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AG","Antigua and Barbuda",2011,75.956,NA,112.44,159.719,NA,NA,17.6,NA,1137637037.03704,89250,395.11126709,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2006,75.204,NA,120.475,169.222,NA,NA,17.6,NA,1157662962.96296,82715,343.2663269,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2012,76.087,NA,110.91,157.793,NA,NA,16.8,NA,1199948148.14815,90407,409.41125488,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2005,75.019,NA,122.39,171.016,NA,NA,17.4,NA,1022962962.96296,81462,348.59619141,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2013,76.218,NA,109.605,156.198,NA,NA,17.3,NA,1181448148.14815,91510,398.87142944,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2008,75.535,NA,117.031,165.5,NA,NA,19.8,NA,1370070370.37037,85394,342.0675354,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2003,74.613,NA,126.218,174.606,NA,NA,18.6,NA,856396296.296296,79311,361.06549072,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2000,73.94,NA,132.267,180.197,NA,NA,18.9,NA,826370370.37037,76007,296.50085449,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2009,75.683,NA,115.501,163.573,NA,NA,18.5,NA,1228329629.62963,86743,324.66009521,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2004,74.821,NA,124.304,172.811,NA,NA,18.3,NA,919729629.62963,80347,339.91278076,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2001,74.171,NA,130.2,178.299,NA,NA,18.2,NA,800481481.481481,77212,333.04800415,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2002,74.395,NA,128.133,176.401,NA,NA,19.1,NA,814381481.481481,78298,321.4463501,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2007,75.376,NA,118.561,167.427,NA,NA,20.1,NA,1312759259.25926,84029,356.52175903,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2015,76.483,NA,106.995,153.01,NA,NA,18.1,NA,1336692592.59259,93571,450.94360352,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2010,75.823,NA,113.97,161.646,NA,NA,17.9,NA,1148700000,88030,409.27523804,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",2014,76.349,NA,108.3,154.604,NA,NA,18,NA,1249733333.33333,92562,469.04333496,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"AL","Albania",2007,75.646,NA,59.481,105.914,NA,NA,21.2,NA,10677321490.3807,2970017,85.71827698,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2010,76.562,NA,55.689,106.184,NA,NA,19.5,NA,11926928505.5231,2913021,96.2378006,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2009,76.221,NA,56.953,106.094,NA,NA,20.2,NA,12044223352.5413,2927519,94.71818542,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2000,73.955,NA,65.051,124.34,NA,NA,18.7,NA,3480355188.60063,3089027,30.83031464,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2015,78.025,NA,51.195,99.215,NA,NA,13.6,NA,11386846319.1589,2880703,107.59864044,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2002,74.579,NA,60.562,113.802,NA,NA,16.6,NA,4348070165.19261,3051010,36.07753754,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2001,74.288,NA,62.807,119.071,NA,NA,15.7,NA,3922099470.97313,3060173,34.5555954,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2004,75.039,NA,60.13,110.647,NA,NA,16.7,NA,7184681398.5698,3026939,65.20411682,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2008,75.912,17.6189365386963,58.217,106.004,21.5337371826172,NA,20.8,NA,12881354103.8398,2947314,97.43617249,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2013,77.554,NA,52.505,103.981,NA,NA,13.8,NA,12776217194.7928,2895092,113.41701508,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2005,75.228,NA,59.914,109.069,NA,NA,20.3,NA,8052075642.10781,3011487,69.52596283,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2012,77.252,NA,53.161,106.363,NA,NA,14.4,NA,12319830252.4768,2900401,103.79718018,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2003,74.828,NA,60.346,112.225,NA,NA,17.3,NA,5611492282.86582,3039616,47.62977219,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2014,77.813,NA,51.85,101.598,NA,NA,13.5,NA,13228144008.3428,2889104,118.4573822,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2006,75.423,NA,59.697,107.492,NA,NA,21.4,NA,8896073938.31407,2992547,74.33125305,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",2011,76.914,NA,54.425,106.273,NA,NA,19.2,NA,12890765324.2256,2905195,104.12452698,NA,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AM","Armenia",2004,72.513,NA,90.121,192.585,NA,NA,25.9,NA,3576615240.41616,3000715,15.42477512,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2015,74.467,4.15405416488647,75.161,175.814,6.30954742431641,NA,22.3,NA,10553337672.9872,2925559,58.08499146,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2001,71.8,NA,93.815,193.696,NA,NA,26.2,NA,2118467913.37873,3050686,9.29861641,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2007,72.815,NA,90.772,200.65,NA,NA,25.3,NA,9206301700.39619,2932615,50.66451263,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2009,73.118,NA,85.718,193.005,NA,NA,26.5,NA,8647936747.98704,2888094,54.24822998,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2008,72.946,NA,88.245,196.828,NA,NA,26.7,NA,11662040713.8753,2907615,59.68692017,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2005,72.626,25.5576820373535,90.338,195.273,29.7975540161133,NA,25.7,NA,4900469950.09033,2981262,24.30142593,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2012,73.82,NA,78.137,181.537,NA,NA,23.2,NA,10619320048.5857,2884239,58.10586929,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2006,72.716,NA,90.555,197.962,NA,NA,25.6,NA,6384451606.1421,2958301,34.23695755,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2010,73.331,13.3565177917481,83.191,189.182,16.4392719268799,NA,25,NA,9260284937.79781,2877314,54.2710495,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2000,71.409,36.1362266540527,97.943,200.185,39.032642364502,NA,26.7,NA,1911563668.85006,3069597,5.94520855,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2013,74.056,NA,77.145,179.629,NA,NA,22.2,NA,11121465767.4067,2897593,52.80022049,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2014,74.273,NA,76.153,177.721,NA,NA,22,NA,11609512939.7542,2912403,60.01179123,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2002,72.112,NA,89.687,187.207,NA,NA,25.9,NA,2376335048.39976,3033976,9.17828178,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2011,73.572,NA,80.664,185.359,NA,NA,23.5,NA,10142111334.4961,2876536,58.98201752,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AM","Armenia",2003,72.348,NA,89.904,189.896,NA,NA,25.8,NA,2807061008.69084,3017938,11.22079659,NA,"ARM","Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD"
"AO","Angola",2010,55.35,NA,233.617,306.825,NA,NA,24.6,NA,83799496611.2004,23356247,60.06458664,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2009,54.311,NA,242.637,315.675,NA,NA,24.2,NA,70307163678.238,22514275,81.20664215,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2004,49.263,NA,292.69,365.922,NA,NA,28.1,NA,23552052407.5488,18758138,21.17677498,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2014,58.776,NA,209.339,282.85,NA,NA,22.8,NA,145712200312.505,26941773,71.29150391,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2015,59.398,44.260181427002,206.219,279.712,68.3069915771484,NA,22.8,NA,116193649124.151,27884380,51.43056107,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2013,58.054,NA,212.458,285.989,NA,NA,24,NA,136709862831.194,26015786,89.07905579,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2012,57.236,NA,215.577,289.127,NA,NA,24.2,NA,128052853643.106,25107925,79.73165131,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2000,46.522,NA,334.646,408.217,NA,NA,28.6,NA,9129634978.33773,16395477,7.56664419,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2005,50.165,NA,282.019,355.073,NA,NA,27.1,NA,36970918699.2523,19433604,24.32736969,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2011,56.33,NA,224.597,297.976,NA,NA,23.8,NA,111789686464.441,24220660,79.07305145,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2002,47.702,NA,314.033,387.622,NA,NA,28.1,NA,15285594828.418,17519418,11.41769695,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2006,51.143,NA,271.347,344.223,NA,NA,27.3,NA,52381006892.038,20149905,37.54086304,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2008,53.243,NA,251.656,324.524,NA,NA,25.8,NA,88538611205.1433,21695636,87.26835632,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2003,48.44,NA,303.361,376.772,NA,NA,28.2,NA,17812705294.325,18121477,14.40624142,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2001,47.059,NA,324.339,397.919,NA,NA,28.4,NA,8936063723.20121,16945753,13.19847393,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AO","Angola",2007,52.177,NA,260.676,333.373,NA,NA,25.7,NA,65266452081.386,20905360,53.76034927,NA,"AGO","Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD"
"AR","Argentina",2005,74.451,NA,91.939,171.011,NA,NA,18.8,NA,198737095012.282,38892924,201.8656311,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2003,74.107,NA,94.03,175.041,NA,NA,20,NA,127586973492.177,38087866,143.50332642,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2015,76.068,NA,82.139,152.24,NA,NA,16.5,NA,594749285413.212,43131966,1021.71044922,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2006,74.62,NA,90.894,168.996,NA,NA,18.3,NA,232557260817.308,39289876,239.7603302,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2009,75.116,NA,87.878,163.206,NA,NA,17.8,NA,332976484577.619,40482786,471.08905029,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2002,73.932,NA,95.076,177.056,NA,NA,20.3,NA,97724004251.8602,37681743,122.12313843,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2000,73.576,NA,97.296,181.355,NA,NA,20.4,NA,284203750000,36870796,387.92160034,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2012,75.598,NA,84.923,157.542,NA,NA,17.4,NA,545982375701.128,41733271,854.2635498,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2013,75.756,NA,83.995,155.775,NA,NA,17,NA,552025140252.246,42202935,904.13348389,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2008,74.952,NA,88.863,165.094,NA,NA,18,NA,361558037110.419,40080159,411.30688477,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2011,75.439,NA,85.908,159.43,NA,NA,17.6,NA,530163281574.658,41261490,728.91668701,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2007,74.787,NA,89.848,166.981,NA,NA,18.8,NA,287530508430.568,39684303,310.67294312,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2014,75.913,NA,83.067,154.008,NA,NA,16.4,NA,526319673731.638,42669500,841.48925781,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2010,75.278,NA,86.893,161.318,NA,NA,17.8,NA,423627422092.49,40788453,580.70294189,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2001,73.755,NA,96.186,179.206,NA,NA,20.2,NA,268696750000,37275644,370.28302002,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AR","Argentina",2004,74.28,NA,92.985,173.026,NA,NA,19.3,NA,164657930452.787,38491970,161.42892456,NA,"ARG","Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"AS","American Samoa",2003,NA,NA,NA,NA,NA,NA,NA,NA,5.24e+08,59495,NA,NA,"ASM","East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
"AS","American Samoa",2006,NA,NA,NA,NA,NA,NA,NA,NA,4.93e+08,59109,NA,NA,"ASM","East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
"AS","American Samoa",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,58496,NA,NA,"ASM","East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
